Kind,Name,Entity_Uniquename,Cyclomatic,RatioCommentToCode,MaxInheritanceTree,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountLineCode,CountLine,CountSemicolon,CountDeclFunction
File,"DecodedBitStreamParserTestCase.java","@l./core/src/test/java/com/google/zxing/qrcode/decoder/DecodedBitStreamParserTestCase.java",,"0.54",,5,0,5,,,67,99,45,5
File,"DecodedChar.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/DecodedChar.java",,"1.93",,3,1,3,,,15,52,7,3
File,"DecodedInformation.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/DecodedInformation.java",,"1.04",,5,3,5,,,27,64,15,5
File,"DecodedNumeric.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/DecodedNumeric.java",,"0.93",,6,2,6,,,30,73,14,6
File,"DecodedObject.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/DecodedObject.java",,"2.70",,2,1,2,,,10,44,4,2
File,"Decoder.java","@l./core/src/main/java/com/google/zxing/aztec/decoder/Decoder.java",,"0.28",,6,9,14,,,325,443,187,12
File,"Decoder.java","@l./core/src/main/java/com/google/zxing/maxicode/decoder/Decoder.java",,"0.34",,4,1,4,,,73,114,44,4
File,"Decoder.java","@l./core/src/main/java/com/google/zxing/qrcode/decoder/Decoder.java",,"0.78",,7,1,7,,,91,189,56,7
File,"Decoder.java","@l./core/src/main/java/com/google/zxing/datamatrix/decoder/Decoder.java",,"1.06",,4,1,4,,,54,125,39,4
File,"DecoderConfig.java","@l./javase/src/main/java/com/google/zxing/client/j2se/DecoderConfig.java",,"0.16",,1,13,1,,,91,126,32,1
File,"DecoderResult.java","@l./core/src/main/java/com/google/zxing/common/DecoderResult.java",,"0.51",,20,11,20,,,100,176,40,20
File,"DecoderTest.java","@l./core/src/test/java/com/google/zxing/aztec/decoder/DecoderTest.java",,"0.15",,6,0,7,,,184,226,51,7
File,"DefaultGridSampler.java","@l./core/src/main/java/com/google/zxing/common/DefaultGridSampler.java",,"0.54",,2,0,2,,,52,88,22,2
File,"DefaultPlacement.java","@l./core/src/main/java/com/google/zxing/datamatrix/encoder/DefaultPlacement.java",,"0.28",,14,4,14,,,137,198,86,14
File,"DetectionResult.java","@l./core/src/main/java/com/google/zxing/pdf417/decoder/DetectionResult.java",,"0.13",,17,4,19,,,238,299,124,19
File,"DetectionResultColumn.java","@l./core/src/main/java/com/google/zxing/pdf417/decoder/DetectionResultColumn.java",,"0.29",,8,2,8,,,63,95,28,8
File,"DetectionResultRowIndicatorColumn.java","@l./core/src/main/java/com/google/zxing/pdf417/decoder/DetectionResultRowIndicatorColumn.java",,"0.20",,9,1,9,,,201,261,106,9
File,"Detector.java","@l./core/src/main/java/com/google/zxing/aztec/detector/Detector.java",,"0.44",,20,8,25,,,361,603,216,25
